,ephoch-labels,timestamps,deltas,delta-seconds
0,start,2021-07-24 05:42:05+00:00,0 days 00:00:00,0
1,ephoch-1,2021-07-24 05:42:05+00:00,0 days 00:00:56,56
2,ephoch-2,2021-07-24 05:43:01+00:00,0 days 00:00:57,57
3,ephoch-3,2021-07-24 05:43:02+00:00,0 days 00:00:03,3
4,ephoch-4,2021-07-24 05:43:04+00:00,0 days 00:00:58,58
5,ephoch-5,2021-07-24 05:44:00+00:00,0 days 00:00:57,57
6,ephoch-6,2021-07-24 05:44:01+00:00,0 days 00:00:03,3
7,ephoch-7,2021-07-24 05:44:03+00:00,0 days 00:00:03,3
8,ephoch-8,2021-07-24 05:44:04+00:00,0 days 00:00:57,57
9,ephoch-9,2021-07-24 05:45:00+00:00,0 days 00:00:57,57
10,ephoch-10,2021-07-24 05:45:01+00:00,0 days 00:00:03,3
11,ephoch-11,2021-07-24 05:45:03+00:00,0 days 00:00:03,3
12,ephoch-12,2021-07-24 05:45:04+00:00,0 days 00:00:57,57
13,ephoch-13,2021-07-24 05:46:00+00:00,0 days 00:00:58,58
14,ephoch-14,2021-07-24 05:46:02+00:00,0 days 00:00:03,3
15,ephoch-15,2021-07-24 05:46:03+00:00,0 days 00:00:03,3
16,ephoch-16,2021-07-24 05:46:05+00:00,0 days 00:00:57,57
17,ephoch-17,2021-07-24 05:47:00+00:00,0 days 00:00:57,57
18,ephoch-18,2021-07-24 05:47:02+00:00,0 days 00:00:03,3
19,ephoch-19,2021-07-24 05:47:03+00:00,0 days 00:00:03,3
20,ephoch-20,2021-07-24 05:47:05+00:00,0 days 00:00:58,58
